0|EAC4468893_1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	QUATERNARY AMMONIUM
896001490|WP_049068184_1|1|1|blaOXA-111|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-111	BETA-LACTAM
896009698|WP_049074725_1|1|1|blaOXY-5-3|blaOXY-5|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-5-3	BETA-LACTAM
896015912|WP_049079240_1|1|1|blaOXY-1-10|blaOXY-1|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-1-10	BETA-LACTAM
896019818|WP_049082137_1|1|1|blaOXY-1-11|blaOXY-1|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-1-11	BETA-LACTAM
896030445|WP_049088977_1|1|1|blaOXY-6-6|blaOXY-6|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-6-6	BETA-LACTAM
896082772|WP_049122279_1|1|1|blaMIR-10|blaMIR|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-10	BETA-LACTAM
896092380|WP_049127974_1|1|1|blaOXY-2-21|blaOXY-2|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-2-21	BETA-LACTAM
896102658|WP_049134845_1|1|1|blaACT-89|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-89	BETA-LACTAM
896136685|WP_049156962_1|1|1|blaLEN-11|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-11	BETA-LACTAM
896176169|WP_049189080_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896189014|WP_049198488_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896196408|WP_049204401_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896201646|WP_049208356_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896207031|WP_049212943_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896243332|WP_049239252_1|1|1|blaPDC-124|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-124	BETA-LACTAM
896246624|WP_049241494_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896248481|WP_049243320_1|1|1|blaDHA-9|blaDHA|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_DHA-9	BETA-LACTAM
896287250|WP_049270433_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896289153|WP_049272244_1|1|1|blaPDC-172|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-172	BETA-LACTAM
896318788|WP_049291121_1|1|1|blaOXA-1014|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1014	BETA-LACTAM
896345154|WP_049305288_1|1|1|blaPDC-442|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-442	BETA-LACTAM
896379876|WP_049321692_1|1|1|blaPDC-123|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-123	BETA-LACTAM
896538090|WP_049440615_1|1|1|aac(6_)-Iz|aac(6_)-Iz|acetyltransferase|2|TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Iz	AMINOGLYCOSIDE
896541468|WP_049443010_1|1|1|aac(6_)_Steno|aac(6_)_Steno|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
896573839|WP_049468785_1|1|1|aac(6_)-Iak|aac(6_)-Iak|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Iak	AMINOGLYCOSIDE
896679919|WP_049554487_1|1|1|tetB(60)|tetB(60)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_ABC_transporter_Tet(60)_subunit_B	TETRACYCLINE
898304768|WP_049581834_1|1|1|dfrA45|dfrA45|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA45	TRIMETHOPRIM
898306975|WP_049581961_1|1|1|blaOXA-144|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-144	BETA-LACTAM
898397581|WP_049589868_1|1|1|mcr-1_1|mcr-1||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-1_1	COLISTIN
902765661|WP_049637206_1|1|1|blaOXA-780|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-780	BETA-LACTAM
902765807|WP_049637349_1|1|1|blaPER-3|blaPER|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_PER-3	BETA-LACTAM
902774993|WP_049646085_1|1|1|aac(6_)_Yersi|aac(6_)_Yersi|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
902809117|WP_049677835_1|1|1|aac(6_)_Yersi|aac(6_)_Yersi|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
909655056|WP_049898469_1|1|1|vanY-D|vanY-D|re-structuring_of_the_cell_wall|2|VANCOMYCIN|GLYCOPEPTIDE|transpeptidase-like_D-Ala-D-Ala_carboxypeptidase_VanY-D	GLYCOPEPTIDE
910236568|WP_050041693_1|1|1|aadA27|aadA27|nucleotidyltransferase|2|SPECTINOMYCIN_STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-II_family_aminoglycoside_nucleotidyltransferase_AadA27	AMINOGLYCOSIDE
91070941|ABE05822_1|1|1|fdeC|fdeC||1|||intimin-like_adhesin_FdeC	VIRULENCE
91071717|ABE06598_1|1|1|sfaS|sfaS||1|||S-fimbrial_adhesin_minor_subunit_SfaS	VIRULENCE
91075443|ABE10324_1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1	VIRULENCE
910928430|WP_050141558_1|1|1|aac(6_)_Yersi|aac(6_)_Yersi|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
912572581|WP_050190632_1|1|1|blaTEM-215|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_TEM-215	BETA-LACTAM
912687134|WP_050232631_1|1|1|tet(M)|tet(M)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(M)	TETRACYCLINE
913063622|WP_050364506_1|1|1|erm(N)|erm(N)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(N)	MACROLIDE
913458183|WP_050437591_1|1|1|tet(63)|tet(63)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_MFS_transporter_Tet(63)	TETRACYCLINE
914221899|WP_050537864_1|1|1|aac(6_)_Yersi|aac(6_)_Yersi|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
914626309|WP_050618045_1|1|1|tet(W)|tet(W)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(W)	TETRACYCLINE
914813588|WP_050737109_1|1|1|blaNMC-A|blaIMI|hydrolase|2|CARBAPENEM|BETA-LACTAM|IMI_family_carbapenem-hydrolyzing_class_A_beta-lactamase_NMC-A	BETA-LACTAM
915495706|WP_050824634_1|1|1|tet(O)|tet(O)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(O)	TETRACYCLINE
915613457|WP_050861789_1|1|1|blaACT-64|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-64	BETA-LACTAM
915977937|WP_050945244_1|1|1|cat86|cat86|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_A-6_chloramphenicol_O-acetyltransferase_Cat86	PHENICOL
916286387|WP_051021433_1|1|1|lnu(H)|lnu(H)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(H)	LINCOSAMIDE
916531646|WP_051139090_1|1|1|aac(6_)-Ian|aac(6_)-Ian|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Ian	AMINOGLYCOSIDE
916601194|WP_051208285_1|1|1|aac(6_)_Ia_fam|aac(6_)_Ia_fam|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|AAC(6_)-Ia_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
916756665|WP_051363721_1|1|1|blaSFC-3|blaSFC|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_SFC-3	BETA-LACTAM
916842019|WP_051449075_1|1|1|aacA8|aacA8|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AacA8	AMINOGLYCOSIDE
916994548|WP_051601260_1|1|1|blaOXA-1090|blaOXA-VL06|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1090	BETA-LACTAM
917038817|WP_051645529_1|1|1|aac(6_)-30|aac(6_)-30|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-30	AMINOGLYCOSIDE
917561940|WP_052157330_1|1|1|blaFIM-1|blaFIM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_FIM-1	BETA-LACTAM
917724021|WP_052238312_1|1|1|arr-5|arr|ADP-ribosyltransferase|2|RIFAMYCIN|RIFAMYCIN|NAD(+)--rifampin_ADP-ribosyltransferase_Arr-5	RIFAMYCIN
917733809|WP_052248074_1|1|1|blaOXA-962|blaOXA-55_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-55_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-962	BETA-LACTAM
917745009|WP_052259183_1|1|1|erm(42)|erm(42)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(42)	MACROLIDE
917752683|WP_052266736_1|1|1|blaOXA-156|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-156	BETA-LACTAM
917771860|WP_052285801_1|1|1|aacA34|aacA34|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase_AacA34	AMINOGLYCOSIDE
918359395|WP_052413554_1|1|1|aph(6)-Ib|aph(6)-Ib|phosphotransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(6)-Ib	AMINOGLYCOSIDE
918359733|WP_052413892_1|1|1|tcmA|tcmA||2|TETRACENOMYCIN|TETRACENOMYCIN|tetracenomycin_C_efflux_MFS_transporter	TETRACENOMYCIN
918399751|BAS21358_1|1|1|sey|sey||1|||staphylococcal_enterotoxin_type_Y	VIRULENCE
918672380|WP_052543100_1|1|1|tet(W)|tet(W)|target_protection|2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_protein_Tet(W)	TETRACYCLINE
919213656|WP_052769157_1|1|1|blaIND-16|blaIND|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_IND-16	BETA-LACTAM
919226655|WP_052776520_1|1|1|aph(2__)-Ii|aph(2__)-Ii|phosphotransferase|2|AMIKACIN_GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(2__)-Ii	AMINOGLYCOSIDE
919235677|WP_052781249_1|1|1|blaOXA-583|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-583	BETA-LACTAM
919247097|WP_052788483_1|1|1|blaOXA-611|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-611	BETA-LACTAM
919248567|WP_052788887_1|1|1|blaOXA-581|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-581	BETA-LACTAM
919257501|WP_052793969_1|1|1|blaOXA-465|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-465	BETA-LACTAM
919259413|WP_052794776_1|1|1|blaOXA-625|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-625	BETA-LACTAM
919265210|WP_052798312_1|1|1|blaOXA-609|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-609	BETA-LACTAM
919271848|WP_052800105_1|1|1|blaOXA-597|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-597	BETA-LACTAM
919306557|WP_052803794_1|1|1|blaOXA-601|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-601	BETA-LACTAM
919308854|WP_052805187_1|1|1|blaOXA-451|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-451	BETA-LACTAM
919381939|WP_052815145_1|1|1|blaOXA-1159|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1159	BETA-LACTAM
919540973|WP_052858477_1|1|1|blaOXA-637|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-637	BETA-LACTAM
919906410|WP_052905207_1|1|1|grdA|grdA||2|GENTAMICIN|AMINOGLYCOSIDE|gentamicin_resistance_ATP-binding_protein_GrdA	AMINOGLYCOSIDE
920081298|WP_052944427_1|1|1|blaTEM-32|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|inhibitor-resistant_broad-spectrum_class_A_beta-lactamase_TEM-32	BETA-LACTAM
920256382|WP_052972810_1|1|1|catB8|catB8|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB8	PHENICOL
920634270|WP_053032028_1|1|1|fosB4|fosB-Saur|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_bacillithiol_transferase_FosB4	FOSFOMYCIN
920857467|WP_053064676_1|1|1|blaOXY-2-8|blaOXY-2|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_OXY-2-8	BETA-LACTAM
921058725|WP_053073497_1|1|1|blaIMI-1|blaIMI|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_IMI-1	BETA-LACTAM
92108702|CAJ34994_1|1|1|bfpA|bfpA||1|||bundle-forming_pilus_major_subunit_BfpA	VIRULENCE
921192998|WP_053138477_1|1|1|srm(B)|srm(B)|target_protection|2|MACROLIDE|MACROLIDE|ABC-F_type_ribosomal_protection_protein_Srm(B)	MACROLIDE
921193494|WP_053138973_1|1|1|erm(O)|erm(O)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(O)	MACROLIDE
921193496|WP_053138975_1|1|1|mgt|mgt|glycosylation|2|MACROLIDE|MACROLIDE|macrolide-inactivating_glycosyltransferase	MACROLIDE
922962089|WP_053390271_1|1|1|blaCMY-137|blaCMY|hydrolase|2|||class_C_beta-lactamase_CMY-137	BETA-LACTAM
923060884|WP_053444694_1|1|1|blaCTX-M-165|blaCTX-M|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_CTX-M-165	BETA-LACTAM
923078096|WP_053461075_1|1|1|aac(6_)-Iak|aac(6_)-Iak|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Iak	AMINOGLYCOSIDE
924466515|WP_053498400_1|1|1|blaOXA-114h|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114h	BETA-LACTAM
924510821|WP_053515552_1|1|1|qacE|qacE|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|quaternary_ammonium_compound_efflux_SMR_transporter_QacE	STRESS
924513936|WP_053518652_1|1|1|aac(6_)_Steno|aac(6_)_Steno|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
926302680|WP_053638058_1|1|1|aacA-STR-7|aacA-STR-7|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
927053167|WP_053766315_1|1|1|aacA-ENT2|aacA-ENT2|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
927320859|WP_053813381_1|1|1|blaPDC-125|blaPDC_var|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-125	BETA-LACTAM
927333323|WP_053816671_1|1|1|blaPDC-151|blaPDC_var|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-151	BETA-LACTAM
927580504|WP_053821788_1|1|1|mcr-5_1|mcr-5||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-5_1	COLISTIN
928800934|WP_053872444_1|1|1|blaOXA-639|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-639	BETA-LACTAM
928888754|WP_053921012_1|1|1|blaOXA-603|blaOXA-61_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-61_family_class_D_beta-lactamase_OXA-603	BETA-LACTAM
929032|CAA51959_1|1|1|iap|iap||1|||ADP-ribosylating_binary_toxin_iota_enzymatic_subunit_Ia	VIRULENCE
93358947|ABF13034_1|1|1|merD|merD||1|MERCURY|MERCURY|mercury_resistance_co-regulator_MerD	STRESS
93358981|ABF13067_1|1|1|cnrC|cnrC||1|NICKEL|NICKEL|nickel_efflux_RND_transporter_outer_membrane_subunit_CnrC	STRESS
93358983|ABF13069_1|1|1|cnrA|cnrA||1|NICKEL|NICKEL|nickel_efflux_RND_transporter_permease_subunit_CnrA	STRESS
93358984|ABF13070_1|1|1|cnrT|cnrT||1|NICKEL|NICKEL|nickel_diffusion_facilitator_CnrT	STRESS
933770025|WP_054336482_1|1|1|tet(O_W_O)|tet(O_W_O)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_resistance_ribosomal_protection_mosaic_protein_Tet(O_W_O)	TETRACYCLINE
935281132|WP_054379352_1|1|1|blaPDC-168|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-168	BETA-LACTAM
935511411|WP_054428802_1|1|1|blaOXA-455|blaOXA-364_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-364_family_class_D_beta-lactamase_OXA-455	BETA-LACTAM
935530459|WP_054437016_1|1|1|blaOXA-114j|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114j	BETA-LACTAM
935560959|WP_054448427_1|1|1|blaOXA-114c|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114c	BETA-LACTAM
935615173|WP_054471662_1|1|1|blaOXA-114m|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114m	BETA-LACTAM
935682093|WP_054500785_1|1|1|blaOXA-789|blaOXA-364_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-364_family_class_D_beta-lactamase_OXA-789	BETA-LACTAM
935696585|WP_054505840_1|1|1|blaOXA-114a|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114a	BETA-LACTAM
935729370|WP_054517040_1|1|1|blaOXA-114l|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114l	BETA-LACTAM
939335755|WP_054882068_1|1|1|fosE|fosE|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_hydrolase_FosE	FOSFOMYCIN
939344942|WP_054890630_1|1|1|fosK|fosK|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_glutathione_transferase_FosK	FOSFOMYCIN
939369456|WP_054914207_1|1|1|aac(6_)-31|aac(6_)-31|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-31	AMINOGLYCOSIDE
942448435|WP_055314004_1|1|1|blaTEM-63|blaTEM|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_TEM-63	BETA-LACTAM
942450625|WP_055314508_1|1|1|blaTEM-213|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_TEM-213	BETA-LACTAM
942467534|WP_055321263_1|1|1|blaMIR-5|blaMIR|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-5	BETA-LACTAM
94315075|ABF14406_1|1|1|ncrA|ncrA||1|NICKEL|NICKEL|Metal_Resistance	STRESS
94315076|ABF14407_1|1|1|ncrB|ncrB||1|NICKEL|NICKEL|nickel-sensing_transcriptional_repressor_NcrB	STRESS
943909695|WP_055545096_1|1|1|aac(6_)-sk|aac(6_)-sk|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
944149328|WP_055641627_1|1|1|erm(30)|erm(30)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(30)	MACROLIDE
94480755|CAK02719_1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1	VIRULENCE
944825|CAA90630_1|1|1|stxA2a|stxA2a||1|STX2A|STX2|Shiga_toxin_Stx2a_subunit_A	VIRULENCE
947856904|WP_056517622_1|1|1|blaOXA-669|blaOXA-274_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-274_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-669	BETA-LACTAM
949429320|BAT41861_1|1|1|alpha-8|alpha-8||1|ALPHA|INTIMIN|intimin_type_alpha	VIRULENCE
949580800|WP_057012521_1|1|1|blaPFM-2|blaPFM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B2_metallo-beta-lactamase_PFM-2	BETA-LACTAM
949616509|WP_057036510_1|1|1|blaOXA-629|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-629	BETA-LACTAM
949621775|WP_057038954_1|1|1|aph(2__)-IIa|aph(2__)-IIa|phosphotransferase|2|AMIKACIN_GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_O-phosphotransferase_APH(2__)-IIa	AMINOGLYCOSIDE
949621776|WP_057038955_1|1|1|aac(6_)-Im|aac(6_)-Im|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Im	AMINOGLYCOSIDE
949644380|WP_057046497_1|1|1|blaOXA-83|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-83	BETA-LACTAM
949688834|WP_057053864_1|1|1|blaOXA-340|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-340	BETA-LACTAM
949717113|WP_057061999_1|1|1|blaOXA-821|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-821	BETA-LACTAM
949722842|WP_057066208_1|1|1|blaOXA-241|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-241	BETA-LACTAM
949761294|WP_057089822_1|1|1|blaOXA-417|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-417	BETA-LACTAM
949769351|WP_057093064_1|1|1|blaADC-163|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-163	BETA-LACTAM
949770982|WP_057094079_1|1|1|blaOXA-121|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-121	BETA-LACTAM
